,beta0,beta1,beta2,beta3,tau1,tau2
2022-06-28,0.9931281778247409,79.79330644730551,144.7897291865699,88.04929092376483,0.012558660482151878,0.012208210506609897
2022-06-29,0.9850649633217573,84.49222236278972,155.91383821190337,93.63787128653978,0.011771162318388794,0.011433849912872602
2022-06-30,0.9775434107690018,86.40326937235625,161.3024794112196,95.13137610968157,0.011481692315392478,0.011156044511962955
2022-07-01,0.958254732274111,87.55530564488153,160.38273487229864,95.96423604911338,0.011474885270972953,0.01114159663654899
2022-07-04,0.972443999948199,92.05617915333215,167.80022750077796,101.76334742028398,0.010916220842701527,0.010597055226616522
2022-07-05,0.9621403445016087,93.33249547643247,172.24589407430597,105.33745673455516,0.010680046308484108,0.010291636755170577
2022-07-06,0.9653488135358299,95.1020079199488,174.48464925647352,106.24120796657986,0.01054066249769528,0.01016195612675147
2022-07-07,0.9646375316850513,97.42059778722499,176.39809891351968,109.51371176943984,0.010311831283118621,0.010042447827711708
2022-07-08,0.9756763198627749,98.5489450812468,177.70384411825577,108.71838476452172,0.01029198671002826,0.009920385890513384
2022-07-11,0.9737965824349251,101.66095031863884,180.82916335004077,113.99105390242566,0.009985588899449371,0.009712274536539094
2022-07-12,0.9712999946645173,101.64626837074707,178.13075663384558,110.6132364364267,0.010150771075641366,0.009858395013698841
2022-07-13,0.9659540558154016,108.02008118936523,194.10746838904953,122.592567556368,0.009313997818865362,0.009133923575723004
2022-07-14,0.9671347930076544,110.73373146946523,196.6920753913906,125.79532310653639,0.009181665810206985,0.008844025750101611
2022-07-15,0.9721645452617681,108.49082420298092,193.10148941481623,117.32100360262626,0.009468807954960691,0.00920368699414585
2022-07-18,0.9780612902179349,171.79042051822967,332.3371339971499,1.4114981420681856,0.007813766842802813,-8.579045322382184e-05
2022-07-19,0.9841058649058744,116.04783336218348,202.49589160269647,127.21789177452439,0.008911507304887161,0.008652064707787694
2022-07-20,0.9795564628499505,119.73752751048497,209.7641814620094,128.6252358141574,0.008674503811856854,0.008427865793755533
